state,x,y
Andhra Pradesh,-78.0,-135.0
Arunachal Pradesh,213.0,145.0
Assam,190.0,105.0
Bihar,62.0,88.0
Chhattisgarh,-18.0,-3.0
Goa,-170.0,-126.0
Gujarat,-213.0,35.0
Haryana,-119.0,162.0
Himachal Pradesh,-104.0,223.0
Jammu and Kashmir,-151.0,259.0
Jharkhand,46.0,41.0
Karnataka,-138.0,-144.0
Kerala,-128.0,-230.0
Ladakh,-104.0,275.0
Maharashtra,-149.0,-43.0
Madhya Pradesh,-88.0,36.0
Manipur,213.0,74.0
Meghalaya,147.0,85.0
Mizoram,194.0,44.0
Nagaland,227.0,102.0
Odisha,34.0,-14.0
Punjab,-137.0,200.0
Rajasthan,-148.0,108.0
Sikkim,108.0,128.0
Tamil Nadu,-83.0,-216.0
Tripura,174.0,51.0
Telangana,-76.0,-76.0
Uttar Pradesh,-43.0,119.0
Uttarakhand,-68.0,185.0
West Bengal,96.0,36.0
